Symbol,Price,Data_Source,History_Bars_1Y,Last_Price_Date,Price_Age_Days,Avg_Volume_10D,Sector,Industry,Market_Cap_Cr,200_DMA,50_DMA,RSI,Sales_Growth_TTM%,Sales_Growth_5Y%,ROE%,Avg_ROE_5Y%,Profit_Margin%,Debt_Equity,PEG_Ratio,PE_Ratio,Down_From_52W_High%,Smart_Money%,Free_Cashflow,CFO_PAT_Ratio,EPS_Growth%,F_Score,F_Score_Method,RS_Rating,Earnings_Accel,Earnings_Inflection_Score,Graham_Number,Value_Gap%,Technical_Signal,MACD_Bullish,Analyst_Rating,Target_Mean_Price,Analyst_Upside%,Analyst_Count,Promoter_Holding%,Inst_Holding%,ATR,Stop_Loss_ATR,Max_Qty_1L,Estimate_Score_Adj,Momentum_Signal,High_52W,Low_52W,ROCE%,Median_PAT_Growth_5Y%,Pledge_Pct,Ret_1M,Ret_3M,Ret_6M,Vol_Breakout,Dist_From_52W_High,Fetch_Core_Present,Fetch_Core_Required,Fetch_History_Required,Fetch_Valid,_dq_blocked,Data_Quality,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,cfo_pat_ratio,market_cap_cr,ml_rank_score,Backtest_CAGR,Backtest_Win_Rate,Backtest_Max_DD,Backtest_Sharpe,Sector_Leader,Score,factor_penalties,Data_Confidence,Conviction_Score,Conviction_Boost,Institutional_Interest,Super_Investors,Rating,ML_Predicted_Return,SHAP_Breakdown,Buy_Below,Stop_Loss,Target_1
Cupid.NS,294.8599853515625,yfinance,249,2026-08-13,2,35778195.0,Consumer Defensive,Household & Personal Products,39516.89,118.20151966094971,205.76979858398437,94.23,158.7,,24.01,16.06,29.3,0.13,,293.88,1.38,6500.9,0.0,0.0,190.9,4.0,9pt_piotroski,-42.8,False,0.0,7.82,-97.35,Bullish,True,None,0.0,0.0,0,6445.9,55.0,11.63,271.61,86.0,0.0,STABLE,299.0,32.87,30.87,26.19,0.0,0.3844,1.5788,2.4346,1.4,0.0,7,2,120,True,False,80.9,0.0,0.0,16.06,293.88,0.13,0.0,39516.89,0.847684,0.0,0.0,0.0,0.0,False,39.2373,"[{'name': 'Extreme Overvaluation', 'value': -5}, {'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'Quality Floor Spline (F:4.0)', 'value': -40}, {'name': 'Overvaluation Spline (-97.3)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (44.2)', 'value': -40}, {'name': 'Institutional Quality Gate 5/12', 'value': -40}]",87.5,20.0,0.0,0,,Avoid,,{},300.8,271.6,368.6
Skipper.NS,540.8499755859375,yfinance,247,2026-08-12,3,692875.0,Industrials,Engineering & Construction,5931.41,455.55649978637695,541.5210021972656,54.52,4.5,,14.29,10.81,4.01,0.64,,27.83,8.79,7179.7,0.0,0.0,25.4,6.0,9pt_piotroski,-6.14,False,0.0,250.52,-53.68,Bullish,True,None,565.0,4.47,2,6665.1,514.6,22.1,496.66,45.0,0.0,STABLE,593.0,327.05,22.51,82.88,0.0,-0.0079,0.199,0.3493,1.93,0.0593,7,2,120,True,False,80.9,0.0,0.0,10.81,27.83,0.64,0.0,5931.41,0.32435899999999995,0.0,0.0,0.0,0.0,False,50.54291,"[{'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'ROE Decay Spline (10.8)', 'value': -40}, {'name': 'Margin Decay Spline (4.0)', 'value': -40}, {'name': 'Overvaluation Spline (-53.7)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,10.0,0.0,0,,Hold,,{},551.7,496.7,676.1
Kamdhenu.NS,33.880001068115234,yfinance,248,2026-08-12,3,537361.0,Metals & Mining,Steel,979.54,25.64915002822876,31.698199882507325,42.25,9.0,,19.77,20.44,10.96,2.38,,11.66,8.58,5249.7,0.0,0.0,34.2,5.0,9pt_piotroski,-8.99,False,0.0,17.15,-49.38,Bearish,False,None,0.0,0.0,0,5242.5,7.2,1.61,30.65,620.0,0.0,STABLE,37.06,16.15,25.59,22.21,0.0,0.0664,0.3954,0.5112,0.38,0.0783,7,2,120,True,False,80.9,0.0,0.0,20.44,11.66,2.38,0.0,979.54,0.29671899999999996,0.0,0.0,0.0,0.0,False,39.90385,"[{'name': 'Overvaluation Spline (-49.4)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (44.2)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,25.0,0.0,0,,Avoid,,{},34.6,30.6,42.4
Carysil.NS,1189.199951171875,yfinance,248,2026-08-12,3,127979.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3355.66,974.1319998168946,1171.117998046875,61.76,14.5,,17.28,16.25,10.63,0.46,,34.17,7.16,5773.7,-364562496.0,1.11,48.5,6.0,9pt_piotroski,-3.63,False,0.0,429.54,-63.88,Bullish,True,None,1270.5,6.84,2,4776.4,997.3,47.39,1094.41,21.0,0.0,STABLE,1280.9,732.1,21.98,10.44,0.0,-0.0132,0.3098,0.2067,0.94,0.0499,8,2,120,True,False,89.3,0.0,0.0,16.25,34.17,0.46,1.11,3355.66,0.26389699999999994,0.0,0.0,0.0,0.0,False,60.17077,"[{'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'Overvaluation Spline (-63.9)', 'value': -30.5}, {'name': 'Institutional Quality Gate 7/12', 'value': -30.5}]",100.0,20.0,0.0,0,,Hold,,{},1213.0,1094.4,1486.5
Coforge.NS,1829.0,yfinance,249,2026-08-13,2,1950396.0,IT Services,Information Technology Services,80215.58,1506.8252923583984,1541.5527416992188,87.01,49.9,,16.31,19.3,9.64,7.52,,37.45,8.08,7595.0,0.0,0.0,30.9,6.0,9pt_piotroski,-5.14,False,0.0,586.05,-67.96,Bullish,True,Buy,1904.4,4.12,35,2181.1,5413.9,57.87,1713.26,17.0,0.0,STABLE,1989.7,1008.1,18.74,16.46,0.0,0.2004,0.3013,0.2926,0.57,0.0688,7,2,120,True,False,80.9,0.0,0.0,19.3,37.45,7.52,0.0,80215.58,0.257004,0.0,0.0,0.0,0.0,False,47.50851,"[{'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'Overvaluation Spline (-68.0)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (39.9)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,25.0,0.0,0,,Avoid,,{},1865.6,1713.3,2286.2
SPARC.NS,202.2100067138672,yfinance,248,2026-08-12,3,1014103.0,Healthcare,Drug Manufacturers - Specialty & Generic,6424.88,163.1796502685547,228.0574008178711,37.68,6716.8,,276.89,-43.41,82.65,0.42,,4.06,30.03,7692.1,-8868206592.0,-0.15,0.0,6.0,9pt_piotroski,-8.38,False,0.0,118.74,-41.28,Bearish,False,None,0.0,0.0,0,7512.1,180.0,7.64,186.93,130.0,0.0,STABLE,289.0,108.0,111.85,11.55,0.0,-0.1945,0.2464,0.4764,0.59,0.2715,7,2,120,True,False,82.3,0.0,0.0,-43.41,4.06,0.42,-0.15,6424.88,0.25409499999999996,0.0,0.0,0.0,0.0,False,40.001,"[{'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'ROE Decay Spline (-43.4)', 'value': -60}, {'name': 'Value Destruction Spline (-43.4)', 'value': -60}, {'name': 'Overvaluation Spline (-41.3)', 'value': -60}, {'name': 'Cash Quality Spline (-0.1)', 'value': -60}, {'name': 'EPS Decay Spline (0.0)', 'value': -60}, {'name': 'Institutional Quality Gate 6/12', 'value': -60}]",87.5,20.0,0.0,0,,Avoid,,{},206.3,186.9,252.8
LMW.NS,17550.0,yfinance,246,2026-08-12,3,7618.0,Industrials,Specialty Industrial Machinery,20213.3,15102.971259765625,16110.56919921875,70.09,24.0,,4.56,9.19,5.18,0.0,,116.01,8.49,7078.9,0.0,0.0,383.9,8.0,9pt_piotroski,-1.61,False,0.0,3307.71,-81.15,Bullish,True,None,11458.0,-34.71,2,5824.6,1254.3,602.64,16344.71,1.0,0.0,STABLE,19179.0,11920.0,5.85,-2.7,0.0,0.0748,0.1999,0.0914,1.14,0.0048,6,2,120,True,False,75.3,0.0,0.0,9.19,116.01,0.0,0.0,20213.3,0.24672,0.0,0.0,0.0,0.0,False,50.92938,"[{'name': 'Extreme Overvaluation', 'value': -5}, {'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'ROE Decay Spline (9.2)', 'value': -40}, {'name': 'Margin Decay Spline (5.2)', 'value': -40}, {'name': 'Overvaluation Spline (-81.2)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,25.0,0.0,0,,Hold,,{},17901.0,16344.7,21937.5
Arkade.NS,129.66000366210938,yfinance,247,2026-08-12,3,460988.0,Real Estate,Real Estate - Development,2475.64,129.0441499710083,128.1797998046875,31.91,-6.8,,0.61,21.55,-0.54,0.11,,459.79,33.44,8236.6,0.0,0.0,-33.5,4.0,9pt_piotroski,-0.55,False,0.0,17.61,-86.42,Bearish,False,None,0.0,0.0,0,8226.0,10.6,4.5,120.67,222.0,0.0,STABLE,194.8,92.62,0.9,27.64,0.0,-0.0654,0.1418,0.0315,2.42,0.32,7,2,120,True,False,80.9,0.0,0.0,21.55,459.79,0.11,0.0,2475.64,0.24568600000000002,0.0,0.0,0.0,0.0,True,21.62223,"[{'name': 'Declining Revenue (Partial)', 'value': -3}, {'name': 'Extreme Overvaluation', 'value': -5}, {'name': 'Margin Decay Spline (-0.5)', 'value': -42.2}, {'name': 'Quality Floor Spline (F:4.0)', 'value': -42.2}, {'name': 'Overvaluation Spline (-86.4)', 'value': -42.2}, {'name': 'Cash Quality Spline (0.0)', 'value': -42.2}, {'name': 'EPS Decay Spline (-33.5)', 'value': -42.2}, {'name': 'Lopsided Profile Spline (31.8)', 'value': -42.2}, {'name': 'Institutional Quality Gate 4/12', 'value': -42.2}]",87.5,35.0,0.0,0,,Avoid,,{},132.3,120.7,162.1
HMT.NS,58.77000045776367,yfinance,246,2026-08-12,3,10471.0,Industrials,Farm & Heavy Construction Machinery,7072.83,55.82725004196167,62.058600158691405,44.32,79.6,,6.49,0.0,-92.21,0.0,,,19.44,9929.4,1401166976.0,0.0,0.0,4.0,9pt_piotroski,-5.78,False,0.0,0.0,0.0,Bearish,False,None,0.0,0.0,0,9929.4,0.0,2.2,54.38,455.0,0.0,STABLE,72.95,41.0,3.17,8.05,0.0,-0.0707,0.0298,0.3287,0.95,0.1764,4,2,120,True,False,52.9,0.0,0.0,0.0,0.0,0.0,0.0,7072.83,0.233782,0.0,0.0,0.0,0.0,False,17.08884,"[{'name': 'ROE Decay Spline (6.5)', 'value': -42.2}, {'name': 'Margin Decay Spline (-92.2)', 'value': -42.2}, {'name': 'Quality Floor Spline (F:4.0)', 'value': -42.2}, {'name': 'Cash Quality Spline (0.0)', 'value': -42.2}, {'name': 'EPS Decay Spline (0.0)', 'value': -42.2}, {'name': 'Lopsided Profile Spline (32.6)', 'value': -42.2}, {'name': 'Institutional Quality Gate 4/12', 'value': -42.2}]",62.5,25.0,0.0,0,,Avoid,,{},59.9,54.4,73.5
Pokarna.NS,988.9500122070312,yfinance,248,2026-08-12,3,167753.0,Industrials,Building Products & Equipment,2952.82,896.6895169067383,962.0172155761719,65.19,10.8,,9.41,13.86,16.03,0.53,,36.69,13.72,7766.0,0.0,0.0,50.5,5.0,9pt_piotroski,1.03,False,0.0,401.81,-59.37,Bullish,True,None,0.0,0.0,0,6475.2,1290.8,44.35,900.25,22.0,0.0,STABLE,1146.2,692.6,10.72,32.75,0.0,-0.0136,0.1907,-0.0583,1.5,0.1261,7,2,120,True,False,80.9,0.0,0.0,13.86,36.69,0.53,0.0,2952.82,0.218475,0.0,0.0,0.0,0.0,False,55.32782,"[{'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'Overvaluation Spline (-59.4)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Institutional Quality Gate 5/12', 'value': -40}]",87.5,10.0,0.0,0,,Hold,,{},1008.7,900.2,1236.2
KRBL.NS,372.3999938964844,yfinance,248,2026-08-13,2,702066.0,Consumer Defensive,Packaged Foods,8844.31,361.7439991760254,366.4819982910156,67.67,-1.5,,11.16,11.71,12.55,2.92,1.12,13.16,24.77,7742.5,0.0,0.0,73.1,8.0,9pt_piotroski,-0.05,False,0.0,333.15,-10.54,Bullish,True,None,0.0,0.0,0,7268.7,473.8,11.76,348.88,85.0,0.0,STABLE,495.0,274.65,14.81,-15.0,0.0,0.0372,0.1176,0.0028,1.2,0.2137,7,2,120,True,False,85.1,0.0,0.0,11.71,13.16,2.92,0.0,8844.31,0.19256099999999998,0.0,0.0,0.0,0.0,False,51.96371,"[{'name': 'Declining Revenue (Partial)', 'value': -3}, {'name': 'Promoter Buying Boost', 'value': 1}, {'name': 'ROE Decay Spline (11.7)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Institutional Quality Gate 7/12', 'value': -40}]",87.5,10.0,0.0,0,,Hold,,{},379.8,348.9,465.5
