S.No.,Name
1,20 Microns
2,3B Blackbio
3,ACC
4,ADC India
5,AGI Greenpac
6,AGI Infra
7,ASK Automotive
8,ASM Technologies
9,Abans Financial
10,Adcounty Media.
11,Aditya AMC
12,Aditya Infotech
13,Aditya Vision
14,Ador Welding
15,Advait Energy
16,Afcom Holdings
17,Ahluwalia Contr.
18,Ajanta Pharma
19,Ajmera Realty
20,Akums Drugs
21,Algoquant Fin
22,Alldigi Tech
23,Alpex Solar
24,Amber Enterp.
25,Anand Rathi Wea.
26,Antelopus Selan
27,Anthem Bioscienc
28,Anupam Rasayan
29,Apar Inds.
30,Apcotex Industri
31,Apex Ecotech
32,Apollo Micro Sys
33,Arkade
34,Artemis Medicare
35,Arvind Ltd
36,Arvind SmartSp.
37,Ashapura Minech.
38,Ashoka Buildcon
39,Ather Energy
40,Australian Prem
41,Authum Invest
42,Axis Solution
43,Axtel Industries
44,B P C L
45,BCL Industries
46,BLS Internat.
47,BMW Industries
48,BMW Ventures
49,BSE
50,Balmer Law. Inv.
51,Balu Forge
52,Banco Products
53,Bansal Wire Inds
54,Basilic Fly Stud
55,Bayer Crop Sci.
56,Belrise Industri
57,Benares Hotels
58,Beta Drugs Ltd
59,Bhansali Engg.
60,Bharat Seats
61,Bharti Hexacom
62,Birlasoft Ltd
63,Blue Jet Health
64,Bombay Super Hyb
65,Bondada Engineer
66,Borana Weaves
67,Borosil Renew.
68,C K K Retail
69,C P C L
70,C.E. Info System
71,CFF Fluid
72,CG Power & Ind
73,CRISIL
74,Canara Robeco
75,Capacit'e Infra.
76,Capillary Tech.
77,Caplin Point Lab
78,Carysil
79,Castrol India
80,Ceinsys Tech
81,Cello World
82,Cemindia Project
83,Centum Electron
84,Chalet Hotels
85,Chambal Fert.
86,Choice Intl.
87,Coal India
88,Coforge
89,Cohance Life
90,Concord Control
91,Corona Remedies
92,Craftsman Auto
93,Creative Newtech
94,Credo Brands
95,Crizac
96,Cupid
97,Cyient DLM
98,D B Corp
99,D-Link India
100,D.P. Abhushan
101,DDev Plastiks
102,DEE Development
103,DOMS Industries
104,Dam Capital Advi
105,Data Pattern
106,Deep Industries
107,Dhanuka Agritech
108,Disa India
109,Divgi Torq
110,Dolat Algotech
111,Dr Agarwal's Eye
112,Dr Lal Pathlabs
113,Dynacons Sys.
114,Dynamic Cables
115,E2E Networks
116,EMS
117,Easy Trip Plann.
118,Ecos (India)
119,Elantas Beck
120,Electronics Mart
121,Ellen.Indl.Gas
122,Emcure Pharma
123,Emmvee Photovol.
124,Engineers India
125,Enviro Infra
126,Epigral
127,Esab India
128,Everest Kanto
129,Expleo Solutions
130,FDC
131,Fedders Holding
132,Federal-Mogul Go
133,Fermenta Biotec.
134,Fiem Industries
135,Firstsour.Solu.
136,Flair Writing
137,FlySBS Aviation
138,Force Motors
139,Fredun Pharma
140,Frontier Springs
141,Fujiyama Power
142,GE Power
143,GE Shipping Co
144,GE Vernova T&D
145,GK Energy
146,GNA Axles
147,GPT Infraproject
148,GRE Renew
149,GYFTR
150,Ganesh Benzopl.
151,Ganesh Green
152,Ganesh Housing
153,Garden Reach Sh.
154,Garuda Cons
155,Glaxosmi. Pharma
156,Glenmark Pharma.
157,Global Education
158,Godawari Power
159,Godfrey Phillips
160,Gokul Agro
161,Goldiam Intl.
162,Goodluck India
163,Grauer & Weil
164,Gravita India
165,Greenleaf Envi.
166,Grindwell Norton
167,Guj Pipavav Port
168,Guj. Themis Bio.
169,Gujarat Energy
170,Gulf Oil Lubric.
171,Gulshan Polyols
172,HBL Engineering
173,Happy Forgings
174,Health.Global
175,Hexaware Tech.
176,High Energy Bat.
177,Hindustan Copper
178,Hindustan Foods
179,Hindustan Zinc
180,Hitachi Energy
181,I O C L
182,I R C T C
183,ICRA
184,IIFL Capital
185,Icodex Publish.
186,Indiamart Inter.
187,Indian Metals
188,Indo Amines
189,Indo SMC
190,Indo Tech.Trans.
191,Indo Thai Sec.
192,Indo-MIM
193,Indosolar
194,Indrapr.Medical
195,InfoBeans Tech.
196,Ingersoll-Rand
197,Inox India
198,Insolation Ener
199,International Gemological Instit
200,Inventurus Knowl
201,Ivalue Infosolut
202,J Kumar Infra
203,Jain Resource
204,Jash Engineering
205,Jayaswal Neco
206,Jeena Sikho
207,Jindal Drilling
208,Jindal Poly Inve
209,Jindal Stain.
210,John Cockerill
211,Jupiter Life Lin
212,Jyothy Labs
213,Jyoti CNC Auto.
214,Jyoti Resins
215,K C P
216,K.P. Energy
217,KEC International
218,KMC Speciality
219,KP Green Engg.
220,KPIT Technologi.
221,KRBL
222,KRN Heat Exchan
223,KSE
224,Kajaria Ceramics
225,Kalpataru Proj.
226,Kamdhenu
227,Kaveri Seed Co.
228,Kellton Tech
229,Keltech Energies
230,Kennametal India
231,Kesar India
232,Kingfa Science
233,Kirloskar Oil
234,Knowledge Marine
235,Kolte Patil Dev.
236,Kothari Petroche
237,Kovai Medical
238,Krishana Phosch.
239,Krishna Defence
240,Ksolves India
241,Kwality Pharma
242,Kwality Wall's
243,LG Electronics
244,LMW
245,Latent View
246,Life Insurance
247,Lords Mark Industries
248,Lumax Auto Tech.
249,Lumax Industries
250,Lupin
251,M B Agro Prod.
252,MPS
253,MSTC
254,Macpower CNC
255,Maithan Alloys
256,Mangalam Cement
257,Mangalam World.
258,Manoj Vaibhav
259,Manorama Indust.
260,Marathon Nextgen
261,Marine Electric.
262,Marksans Pharma
263,Master Trust
264,Mayur Uniquoters
265,Minda Corp
266,Mobavenue AI Tech
267,Modern Insulator
268,Modi Naturals
269,Modison
270,Monarch Networth
271,Monte Carlo Fas.
272,Motisons Jewel
273,Multi Comm. Exc.
274,NESCO
275,NGL Fine Chem
276,NIIT Learning
277,NMDC
278,NRB Bearings
279,NTPC Green Ene.
280,Narayana Hrudaya
281,Natco Pharma
282,Natl. Aluminium
283,Navin Fluo.Intl.
284,Netweb Technol.
285,Network People
286,Newgen Software
287,Nippon Life Ind.
288,Nirlon
289,Nitta Gelatin
290,Nurture Well Industries
291,OBSC Perfection
292,Oil India
293,Om Power Transmission
294,OneSource Speci.
295,Onward Technolog
296,Optivalue Tek
297,Oriana Power Ltd
298,Orient Cement
299,Oswal Pumps
300,P & G Hygiene
301,P N Gadgil Jewe.
302,POCL Enterprises
303,PTC India Fin
304,PTC Industries
305,Pace Digitek
306,Panacea Biotec
307,Panama Petrochem
308,Parag Milk Foods
309,Paramount Comm.
310,Paras Defence
311,Park Medi World
312,Parmeshwar Metal
313,Pasupati Acrylon
314,Patanjali Foods
315,Pearl Global Ind
316,Pennar Industrie
317,Persistent Systems
318,Petronet LNG
319,Pfizer
320,Piccadily Agro
321,Pitti Engg.
322,Pix Transmission
323,Pokarna
324,Polycab India
325,Polyplex Corpn
326,Pondy Oxides
327,Power Mech Proj.
328,Prec. Wires (I)
329,Premier Energies
330,Premier Polyfilm
331,Privi Speci.
332,Prudent Corp.
333,Pudumjee Paper
334,Pushpa Jewellers
335,R R Kabel
336,R Systems Intl.
337,RACL Geartech
338,RaajMarg Infra
339,Radhika Jeweltec
340,Raghav Product.
341,Railtel Corpn.
342,Rainbow Child.
343,Rajesh Power
344,Rajoo Engineers
345,Ram Ratna Wires
346,Ramky Infra
347,Rane (Madras)
348,Rashi Peripheral
349,Ravindra Energy
350,Raymond Realty
351,Redtape
352,Refex Industries
353,Rishabh Instrum.
354,Route Mobile
355,Rubicon Research
356,S C I
357,SBI Funds Mgt.
358,SEAMEC Ltd
359,SJS Enterprises
360,SKM Egg Prod.
361,SML Mahindra
362,SPARC
363,SRM Contractors
364,Saatvik Green
365,Safari Inds.
366,Sahana Systems
367,Sai Life
368,Sai Silks
369,Saksoft
370,Salasar Techno
371,Sambhv Steel
372,Samhi Hotels
373,Sandhar Tech
374,Sandur Manganese
375,Sarda Energy
376,Sathlokhar Sys.
377,Schaeffler India
378,Schneider Elect.
379,Sedemac Mechatro
380,Senco Gold
381,Senores Pharma.
382,Seshaasai Tech.
383,Shaily Engineer.
384,Shakti Pumps
385,Shanthi Gears
386,Shanti Gold
387,Sharda Cropchem
388,Sharda Motor
389,Share India Sec.
390,Shilchar Tech.
391,Shivalik Bimetal
392,Shraddha Prime
393,Shringar House
394,Sigma Advanced System
395,Sigma Solve
396,Signpost India
397,Sika Interplant
398,Silver Touch
399,Sirca Paints
400,Siyaram Silk
401,Skipper
402,Sky Gold & Diam.
403,Sobhagya Mercant
404,Solar Industries
405,Solarworld Ene.
406,Solex Energy
407,Spectrum Electr.
408,Steelcast
409,Stellant Secu.
410,String Metaverse
411,Stylam Industrie
412,Styrenix Perfor.
413,Sudeep Pharma
414,Sumitomo Chemi.
415,Sun TV Network
416,Sundram Fasten.
417,Sunshield Chem.
418,Swaraj Engines
419,T B Z
420,T R I L
421,TAAL Tech
422,TCS
423,TD Power Systems
424,TVS Motor Co.
425,Tanfac Inds.
426,Tanla Platforms
427,Tasty Bite Eat.
428,Tata Elxsi
429,Technocraf.Inds.
430,Tembo Global
431,Tenneco Clean
432,Thangamayil Jew.
433,The Bombay Burmah
434,Thejo Engg.
435,Thyrocare Tech.
436,Timex Group
437,Tips Music
438,Titan Biotech
439,Titan Company
440,Transport Corp.
441,Transrail Light
442,Travel Food
443,Uni Abex Alloy
444,Univastu India
445,Uno Minda
446,V-Marc India
447,V2 Retail
448,VST Industries
449,Vadilal Inds.
450,Vaibhav Global
451,Varroc Engineer
452,Varun Beverages
453,Vedant Fashions
454,Veedol Corporat
455,Venus Remedies
456,Vertis Infra.
457,Vesuvius India
458,Vijaya Diagnost.
459,Vikram Solar
460,Vikram Thermo
461,Vinati Organics
462,Vintage Coffee
463,Vision Infra
464,Viviana Power
465,Voltas
466,Waaree Energies
467,Waaree Renewab.
468,Wakefit Innovati
469,Websol Energy
470,Welspun Corp
471,West Coast Paper
472,Whirlpool India
473,Wonder Electric.
474,Yaap Digital
475,Yasho Industries
476,Yatharth Hospit.
477,Yatra Online
478,Zaggle Prepaid
479,Zen Technologies
480,Zensar Tech.
481,eClerx Services
482,eMudhra
483,Knack Packaging
484,Siemens Ener.Ind
485,Ramco Systems
486,Ashika Global Securities.
487,JSW Cement
488,CEAT
489,Wheels India
490,JK Tyre & Indust
491,Teerth Gopicon
492,Ravi Leela Gran
493,Trident Lifeline
494,Arigato Universe
495,Oval Projects
496,HVAX Technolog.
497,Swastika Castal
498,V R Infraspace
499,Vaxtex Cotfab
500,SBC Exports
501,Aartech Solonics
502,Sudarshan Pharma
503,Pramara Promotio
504,Monika Alcobev
505,WPIL
506,GRM Overseas
507,C2C Advanced
508,Kaynes Tech
509,Solarium Green
510,Aeroflex Enter.
511,Azad Engineering
512,Rama Telecom
513,Crop Life Scienc
514,Garnet Intl.
515,Rhetan TMT Ltd
516,Inox Wind
517,Artefact Project
518,Punjab Commun.
519,Dhanashree Elect
520,Hubtown
521,Ashoka Metcast
522,Zenith Drugs
523,Affordable Robo.
524,Polysil Irrigati
525,Jay Kailash
526,Jaykay Enter.
527,Vindhya Telelink
528,Gorani Industrie
529,RIR Power Electr
530,Raghunath Intl.
531,Neelam Linens
532,Pentagon Rubber
533,Panabyte Tech
534,RDB Infrastruc.
535,Citichem India
536,Telogica
537,Wardwizard Inno.
538,Promax Power
539,Neogen Chemicals
540,Indobell Insul.
541,S. V. J. Enterp.
542,Drone Destinatio
543,Saptarishi Agro
544,Yug Decor
545,Ampvolts
546,Rexpro Enter.
547,Medicamen Biotec
548,SMVD Poly Pack
549,AKI India
550,SVS Ventures
551,Unichem Labs.
552,Popular Found.
553,New Light Industries
554,Swan Corp
555,Oriental Trimex
556,Akash InfraProj.
557,Saboo Sodium
558,Magenta Life
559,Arrowhead Sepera
560,Confidence Fut.
561,Dalmia Industria
562,Aik Pipes & Poly
563,TIL
564,Indrayani Biotec
565,Jiwanram Sheo
566,Navkar Urban.
567,Mercury EV-Tech
568,Simplex Infra
569,Jyoti Structures
570,Kamdhenu Venture
571,United Interacti
572,Gautam Gems
573,Guj Apollo Inds
574,Shiva Granito
575,Heads UP Venture
576,Ravikumar Distll
577,Minal Industries
578,Electro Force
579,BGIL Films & Tec
580,Urja Global
581,Groarc Industrie
582,Kavveri Defence
583,Droneacharya Aer
584,Sh. Krish. Infr.
585,Nagpur Power
586,Rajnish Retail
587,JTL Defence
588,ATC Energies
589,Vantage Knowledg
