S.No.,Name,NSE Symbol
1,20 Microns,20MICRONS
2,3B Blackbio,3BBLACKBIO
3,ACC,ACC
4,ADC India,ADCINDIA
5,AGI Greenpac,AGI
6,AGI Infra,AGIIL
7,ASK Automotive,ASKAUTOLTD
8,ASM Technologies,ASMTEC
9,Abans Financial,ABANSFIN
10,Adcounty Media.,ADCONMEDIA
11,Aditya AMC,
12,Aditya Infotech,ADITYAINFO
13,Aditya Vision,ADVIS
14,Ador Welding,ADORWELD
15,Advait Energy,ADVAITENER
16,Afcom Holdings,AFCOM
17,Ahluwalia Contr.,AHLUCONT
18,Ajanta Pharma,AJANTPHARM
19,Ajmera Realty,AJMERA
20,Akums Drugs,AKUMS
21,Algoquant Fin,ALGOQUANT
22,Alldigi Tech,ALLDIGI
23,Alpex Solar,ALPEXSOLAR
24,Amber Enterp.,AMBER
25,Anand Rathi Wea.,ANANDRATHI
26,Antelopus Selan,ANTELOPUS
27,Anthem Bioscienc,ANTHEM
28,Anupam Rasayan,ANURAS
29,Apar Inds.,APARINDS
30,Apcotex Industri,APCOTEXIND
31,Apex Ecotech,APEX
32,Apollo Micro Sys,APOLLO
33,Arkade,ARKADE
34,Artemis Medicare,ARTEMISMED
35,Arvind Ltd,ARVIND
36,Arvind SmartSp.,ARVSMART
37,Ashapura Minech.,ASHAPURMIN
38,Ashoka Buildcon,ASHOKA
39,Ather Energy,ATHERENERG
40,Australian Prem,AUSTRALPRE
41,Authum Invest,AUTHUM
42,Axis Solution,
43,Axtel Industries,AXTEL
44,B P C L,BPCL
45,BCL Industries,BCLIND
46,BLS Internat.,BLS
47,BMW Industries,BMWINDS
48,BMW Ventures,BMWVENT
49,BSE,BSE
50,Balmer Law. Inv.,BALMLAWRIE
51,Balu Forge,BALUFORGE
52,Banco Products,BANCOINDIA
53,Bansal Wire Inds,BANSALWIRE
54,Basilic Fly Stud,BASILIC
55,Bayer Crop Sci.,BAYERCROP
56,Belrise Industri,BELRISE
57,Benares Hotels,BENARES
58,Beta Drugs Ltd,BETA
59,Bhansali Engg.,BEPL
60,Bharat Seats,BHARATSE
61,Bharti Hexacom,BHARTIHEXA
62,Birlasoft Ltd,BSOFT
63,Blue Jet Health,BLUEJET
64,Bombay Super Hyb,BSHSL
65,Bondada Engineer,
66,Borana Weaves,BORANA
67,Borosil Renew.,BORORENEW
68,C K K Retail,CKKRETAIL
69,C P C L,CHENNPETRO
70,C.E. Info System,MAPMYINDIA
71,CFF Fluid,CFF
72,CG Power & Ind,CGPOWER
73,CRISIL,CRISIL
74,Canara Robeco,NA_CANARAROBECO
75,Capacit'e Infra.,CAPACITE
76,Capillary Tech.,CAPILLARY
77,Caplin Point Lab,CAPLIPOINT
78,Carysil,CARYSIL
79,Castrol India,CASTROLIND
80,Ceinsys Tech,CEINSYS
81,Cello World,CELLO
82,Cemindia Project,CEMINDIA
83,Centum Electron,CENTUM
84,Chalet Hotels,CHALET
85,Chambal Fert.,CHAMBLFERT
86,Choice Intl.,CHOICEIN
87,Coal India,COALINDIA
88,Coforge,COFORGE
89,Cohance Life,COHANCE
90,Concord Control,CONCORDCON
91,Corona Remedies,NA_CORONA
92,Craftsman Auto,CRAFTSMAN
93,Creative Newtech,CREATIVE
94,Credo Brands,
95,Crizac,CRIZAC
96,Cupid,CUPID
97,Cyient DLM,CYIENTDLM
98,D B Corp,DBCORP
99,D-Link India,DLINKINDIA
100,D.P. Abhushan,DPABHUSHAN
101,DDev Plastiks,DDEVPLASTIK
102,DEE Development,DEEDEV
103,DOMS Industries,DOMS
104,Dam Capital Advi,DAMCAPITAL
105,Data Pattern,DATAPATTNS
106,Deep Industries,DEEPINDS
107,Dhanuka Agritech,DHANUKA
108,Disa India,DISAINDIA
109,Divgi Torq,DIVGIITTS
110,Dolat Algotech,DOLATALGO
111,Dr Agarwal's Eye,AGARWALEYE
112,Dr Lal Pathlabs,LALPATHLAB
113,Dynacons Sys.,DYNACONS
114,Dynamic Cables,DYNAMIC
115,E2E Networks,E2E
116,EMS,EMSLIMITED
117,Easy Trip Plann.,EASEMYTRIP
118,Ecos (India),
119,Elantas Beck,ELANTAS
120,Electronics Mart,EMIL
121,Ellen.Indl.Gas,
122,Emcure Pharma,EMCURE
123,Emmvee Photovol.,EMMVEE
124,Engineers India,ENGINERSIN
125,Enviro Infra,EIEL
126,Epigral,EPIGRAL
127,Esab India,ESABINDIA
128,Everest Kanto,EKC
129,Expleo Solutions,EXPLEOSOL
130,FDC,FDC
131,Fedders Holding,
132,Federal-Mogul Go,FMGOETZE
133,Fermenta Biotec.,FERMENTA
134,Fiem Industries,FIEMIND
135,Firstsour.Solu.,FSL
136,Flair Writing,FLAIR
137,FlySBS Aviation,
138,Force Motors,FORCEMOT
139,Fredun Pharma,
140,Frontier Springs,
141,Fujiyama Power,
142,GE Power,GEPIL
143,GE Shipping Co,GESHIP
144,GE Vernova T&D,GVT&D
145,GK Energy,GKENERGY
146,GNA Axles,GNA
147,GPT Infraproject,GPTINFRA
148,GRE Renew,
149,GYFTR,
150,Ganesh Benzopl.,GANESHBE
151,Ganesh Green,
152,Ganesh Housing,GANESHHOUC
153,Garden Reach Sh.,GRSE
154,Garuda Cons,GARUDA
155,Glaxosmi. Pharma,GLAXO
156,Glenmark Pharma.,GLENMARK
157,Global Education,
158,Godawari Power,GPIL
159,Godfrey Phillips,GODFRYPHLP
160,Gokul Agro,GOKULAGRO
161,Goldiam Intl.,GOLDIAM
162,Goodluck India,GOODLUCK
163,Grauer & Weil,GRAUWEIL
164,Gravita India,GRAVITA
165,Greenleaf Envi.,
166,Grindwell Norton,GRINDWELL
